 

stn;time;tre200dx;tre200dn;tre200d0;rka150d0;hns000d0
LUZ;19810101;7.4;-3.6;3.3;0.6;0
LUZ;19810102;5.5;1.5;3.0;2.0;0
LUZ;19810103;11.7;2.1;7.8;2.5;0
LUZ;19810104;8.8;-1.9;3.5;25.1;6
LUZ;19810105;2.0;-1.5;0.4;1.0;1
LUZ;19810106;3.1;-0.8;1.0;1.8;4
LUZ;19810107;-0.8;-3.4;-1.9;0.3;1
LUZ;19810108;-3.3;-9.5;-5.9;0.0;0
LUZ;19810109;-2.6;-7.3;-4.9;0.0;0
LUZ;19810110;0.1;-2.6;-1.2;0.7;1
LUZ;19810111;0.5;-0.7;-0.2;0.0;0
LUZ;19810112;0.3;-3.3;-1.0;4.4;14
LUZ;19810113;0.8;-2.4;-0.6;8.9;6
LUZ;19810114;0.1;-11.2;-3.5;0.0;0
LUZ;19810115;7.3;-1.5;1.8;10.8;5
LUZ;19810116;2.1;-3.5;-0.5;0.1;0
LUZ;19810117;7.5;-1.6;3.9;0.4;0
LUZ;19810118;5.0;0.9;3.0;1.4;0
LUZ;19810119;7.1;0.3;3.4;3.8;3
LUZ;19810120;3.7;0.1;1.1;26.7;10
LUZ;19810121;0.1;-7.5;-2.4;0.7;0
LUZ;19810122;-3.8;-8.6;-5.3;0.0;0
LUZ;19810123;-4.8;-7.0;-5.7;0.0;0
LUZ;19810124;-3.9;-7.5;-5.4;0.0;0
LUZ;19810125;0.0;-7.0;-3.6;0.0;0
LUZ;19810126;3.7;-0.7;1.0;0.7;0
LUZ;19810127;-0.2;-3.3;-1.8;0.0;0
LUZ;19810128;-2.7;-7.3;-4.3;0.0;0
LUZ;19810129;-2.5;-5.7;-4.0;0.0;0
LUZ;19810130;-2.0;-5.7;-4.2;0.0;0
LUZ;19810131;-2.5;-5.5;-4.3;0.0;0
LUZ;19810201;-0.9;-5.9;-3.9;0.0;0
LUZ;19810202;-0.5;-5.7;-3.4;0.0;0
LUZ;19810203;4.2;-5.2;-0.9;0.1;0
LUZ;19810204;6.8;0.6;2.9;11.2;3
LUZ;19810205;3.0;-0.4;1.1;2.4;2
LUZ;19810206;3.3;0.6;2.0;2.6;0
LUZ;19810207;4.6;1.7;3.1;1.5;0
LUZ;19810208;5.0;1.1;3.1;0.0;0
LUZ;19810209;4.1;-0.6;2.3;0.0;0
LUZ;19810210;4.6;-0.3;1.6;1.8;0
LUZ;19810211;3.3;-1.4;0.4;0.3;2
LUZ;19810212;0.6;-2.6;-1.0;0.1;0
LUZ;19810213;0.4;-6.4;-3.1;0.0;0
LUZ;19810214;0.5;-6.8;-3.7;0.0;0
LUZ;19810215;1.6;-6.6;-2.9;0.0;0
LUZ;19810216;1.6;-5.8;-2.6;0.0;0
LUZ;19810217;-1.3;-3.6;-2.0;0.0;1
LUZ;19810218;-0.1;-2.6;-1.6;0.0;0
LUZ;19810219;-1.2;-3.7;-2.2;0.0;0
LUZ;19810220;0.1;-3.0;-1.8;0.0;0
LUZ;19810221;-0.1;-2.6;-1.6;0.0;1
LUZ;19810222;0.0;-5.6;-2.8;0.0;0
LUZ;19810223;2.4;-4.5;-1.8;0.0;0
LUZ;19810224;5.4;-3.3;0.3;0.0;0
LUZ;19810225;0.4;-4.6;-1.6;0.0;0
LUZ;19810226;2.5;-2.9;-0.3;0.0;0
LUZ;19810227;0.9;-5.0;-2.4;0.0;0
LUZ;19810228;1.8;-4.5;-0.6;1.9;0
LUZ;19810301;6.6;1.0;3.4;5.3;0
LUZ;19810302;7.1;0.8;3.9;3.8;0
LUZ;19810303;5.1;0.7;2.9;14.6;3
LUZ;19810304;3.2;0.6;1.6;15.3;0
LUZ;19810305;6.6;0.6;3.4;0.0;0
LUZ;19810306;7.6;-1.6;3.2;2.2;0
LUZ;19810307;13.1;2.2;7.0;0.7;0
LUZ;19810308;9.1;4.2;6.6;8.9;0
LUZ;19810309;15.7;5.2;10.1;0.4;0
LUZ;19810310;12.4;7.2;9.8;4.6;0
LUZ;19810311;23.4;8.3;13.3;2.2;0
LUZ;19810312;15.2;6.9;9.6;20.3;0
LUZ;19810313;11.4;5.9;7.8;1.9;0
LUZ;19810314;11.2;3.7;7.1;0.0;0
LUZ;19810315;9.1;1.6;4.9;1.3;0
LUZ;19810316;8.2;1.5;4.6;1.3;0
LUZ;19810317;6.4;0.0;2.0;3.2;1
LUZ;19810318;2.7;-3.5;0.4;4.4;0
LUZ;19810319;8.5;-5.2;1.2;0.0;0
LUZ;19810320;13.0;-0.6;5.4;0.0;0
LUZ;19810321;16.3;2.1;8.1;0.0;0
LUZ;19810322;14.5;2.0;8.6;0.0;0
LUZ;19810323;14.8;3.5;9.6;1.7;0
LUZ;19810324;20.4;9.0;14.9;0.2;0
LUZ;19810325;21.2;9.3;14.0;2.3;0
LUZ;19810326;15.8;6.7;12.1;7.9;0
LUZ;19810327;15.6;3.9;9.5;0.0;0
LUZ;19810328;18.1;3.4;10.5;0.0;0
LUZ;19810329;20.6;7.1;13.7;0.0;0
LUZ;19810330;12.7;8.3;9.9;2.9;0
LUZ;19810331;16.2;7.1;11.0;0.4;0
LUZ;19810401;13.0;9.0;10.8;0.0;0
LUZ;19810402;15.7;8.6;11.6;0.0;0
LUZ;19810403;16.6;10.1;12.8;0.0;0
LUZ;19810404;17.3;8.9;13.0;0.0;0
LUZ;19810405;12.3;6.8;8.8;1.0;0
LUZ;19810406;12.8;5.9;8.5;4.3;0
LUZ;19810407;18.1;3.9;10.9;0.0;0
LUZ;19810408;18.3;9.2;13.0;1.2;0
LUZ;19810409;20.0;6.3;13.4;0.0;0
LUZ;19810410;22.0;6.3;13.7;0.0;0
LUZ;19810411;19.9;8.8;14.6;0.0;0
LUZ;19810412;22.6;10.8;16.3;0.0;0
LUZ;19810413;22.7;7.7;15.3;0.0;0
LUZ;19810414;22.2;7.7;15.3;0.0;0
LUZ;19810415;20.4;8.6;14.1;24.5;0
LUZ;19810416;18.3;7.1;12.5;0.1;0
LUZ;19810417;10.6;2.4;6.4;0.0;0
LUZ;19810418;8.2;0.4;3.3;0.0;0
LUZ;19810419;8.7;-2.0;3.9;0.0;0
LUZ;19810420;10.5;3.1;6.6;0.0;0
LUZ;19810421;14.2;3.3;7.8;0.0;0
LUZ;19810422;14.3;1.1;8.0;0.0;0
LUZ;19810423;12.8;2.5;7.4;0.0;0
LUZ;19810424;12.0;3.2;6.9;0.0;0
LUZ;19810425;16.3;4.5;10.3;0.3;0
LUZ;19810426;11.9;2.0;6.4;4.1;0
LUZ;19810427;8.8;1.8;4.3;1.9;0
LUZ;19810428;7.5;4.2;5.7;2.5;0
LUZ;19810429;8.1;4.2;6.1;0.1;0
LUZ;19810430;16.1;3.2;10.0;0.0;0
LUZ;19810501;15.5;8.0;10.9;3.2;0
LUZ;19810502;8.7;4.9;6.6;13.4;0
LUZ;19810503;6.4;3.8;5.3;4.5;0
LUZ;19810504;11.5;4.0;6.4;1.0;0
LUZ;19810505;10.0;4.1;6.5;4.5;0
LUZ;19810506;15.0;3.3;8.8;0.0;0
LUZ;19810507;22.1;3.1;13.0;0.0;0
LUZ;19810508;21.0;9.8;15.1;0.0;0
LUZ;19810509;24.1;7.7;15.7;0.0;0
LUZ;19810510;25.0;9.2;17.8;0.0;0
LUZ;19810511;16.9;6.3;11.2;4.0;0
LUZ;19810512;16.9;6.0;12.2;0.0;0
LUZ;19810513;13.9;9.3;11.1;0.4;0
LUZ;19810514;16.4;9.6;13.2;0.0;0
LUZ;19810515;19.7;8.3;12.8;0.2;0
LUZ;19810516;19.8;6.7;12.4;0.4;0
LUZ;19810517;15.6;7.3;10.7;2.7;0
LUZ;19810518;22.1;4.5;14.3;0.0;0
LUZ;19810519;24.4;8.6;17.0;0.0;0
LUZ;19810520;24.6;10.1;17.6;0.0;0
LUZ;19810521;26.8;12.7;19.8;0.0;0
LUZ;19810522;17.2;10.2;12.1;5.1;0
LUZ;19810523;21.2;8.3;14.9;0.0;0
LUZ;19810524;15.3;11.0;13.0;7.1;0
LUZ;19810525;13.5;8.5;11.5;5.9;0
LUZ;19810526;10.0;7.2;8.8;14.5;0
LUZ;19810527;11.8;6.0;8.5;15.2;0
LUZ;19810528;16.8;5.8;11.7;1.8;0
LUZ;19810529;17.7;10.3;13.9;7.9;0
LUZ;19810530;23.1;9.2;16.5;0.0;0
LUZ;19810531;26.4;10.7;19.4;0.0;0
LUZ;19810601;28.6;14.4;21.1;0.0;0
LUZ;19810602;28.8;13.8;21.8;0.0;0
LUZ;19810603;24.3;14.4;20.3;0.8;0
LUZ;19810604;14.5;10.4;12.6;1.5;0
LUZ;19810605;21.1;7.8;14.9;0.0;0
LUZ;19810606;24.1;9.4;17.8;11.8;0
LUZ;19810607;24.7;14.5;19.0;1.1;0
LUZ;19810608;21.8;16.0;18.8;0.0;0
LUZ;19810609;25.3;15.0;19.8;7.8;0
LUZ;19810610;18.2;12.4;15.0;3.6;0
LUZ;19810611;25.7;11.0;18.6;0.0;0
LUZ;19810612;27.0;12.4;20.7;0.0;0
LUZ;19810613;22.0;14.4;18.3;0.0;0
LUZ;19810614;27.0;12.6;19.6;0.0;0
LUZ;19810615;29.3;13.2;21.5;0.0;0
LUZ;19810616;23.5;15.0;19.3;0.0;0
LUZ;19810617;16.0;9.5;13.4;1.8;0
LUZ;19810618;11.8;7.3;9.1;14.0;0
LUZ;19810619;13.2;7.3;10.3;0.2;0
LUZ;19810620;17.1;6.7;12.5;0.0;0
LUZ;19810621;13.4;8.2;10.9;2.7;0
LUZ;19810622;13.4;6.6;10.1;1.2;0
LUZ;19810623;17.4;6.9;13.1;0.0;0
LUZ;19810624;21.1;11.2;15.3;45.1;0
LUZ;19810625;21.2;8.6;14.6;2.1;0
LUZ;19810626;18.5;12.8;15.0;0.1;0
LUZ;19810627;24.9;10.3;17.8;0.0;0
LUZ;19810628;24.6;12.4;17.5;10.1;0
LUZ;19810629;16.2;10.4;13.2;8.0;0
LUZ;19810630;17.3;9.5;13.0;0.0;0
LUZ;19810701;22.1;9.6;16.1;0.0;0
LUZ;19810702;27.1;10.5;19.7;0.0;0
LUZ;19810703;20.7;10.4;15.9;18.0;0
LUZ;19810704;21.3;9.6;15.7;0.0;0
LUZ;19810705;23.8;10.5;17.4;0.0;0
LUZ;19810706;24.0;13.0;18.3;0.0;0
LUZ;19810707;26.4;12.8;19.9;0.0;0
LUZ;19810708;27.7;13.9;21.1;0.0;0
